#options: 426x240 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=96 keyint_min=49 scenecut=0 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=400 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=800 vbv_bufsize=1600 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:31.74 aq:24.54 tex:35829 mv:6623 misc:6452 imb:405 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:32.35 aq:26.98 tex:6215 mv:1688 misc:377 imb:50 pmb:193 smb:162 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:32.35 aq:30.37 tex:622 mv:861 misc:317 imb:4 pmb:70 smb:331 d:s ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:32.35 aq:28.61 tex:145 mv:389 misc:266 imb:2 pmb:32 smb:371 d:s ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:32.35 aq:20.81 tex:117 mv:277 misc:134 imb:1 pmb:15 smb:389 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:32.74 aq:28.55 tex:6856 mv:1549 misc:443 imb:39 pmb:166 smb:200 d:s ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:32.72 aq:25.09 tex:619 mv:756 misc:305 imb:0 pmb:63 smb:342 d:t ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:32.72 aq:21.04 tex:238 mv:255 misc:131 imb:1 pmb:11 smb:393 d:s ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:32.73 aq:28.95 tex:259 mv:226 misc:139 imb:1 pmb:14 smb:390 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:28.74 aq:23.22 tex:20360 mv:2232 misc:328 imb:90 pmb:228 smb:87 d:s ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:32.60 aq:28.49 tex:1237 mv:632 misc:307 imb:4 pmb:54 smb:347 d:s ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:32.67 aq:22.26 tex:371 mv:237 misc:144 imb:0 pmb:15 smb:390 d:s ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:32.54 aq:25.43 tex:386 mv:391 misc:143 imb:2 pmb:20 smb:383 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:25.21 aq:20.06 tex:37242 mv:2820 misc:226 imb:86 pmb:270 smb:49 d:s ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:28.62 aq:26.56 tex:2753 mv:1337 misc:382 imb:7 pmb:95 smb:303 d:t ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:28.68 aq:28.71 tex:1215 mv:586 misc:231 imb:0 pmb:35 smb:370 d:s ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:28.56 aq:28.47 tex:1078 mv:624 misc:210 imb:0 pmb:37 smb:368 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:24.22 aq:19.44 tex:38933 mv:3035 misc:232 imb:81 pmb:277 smb:47 d:s ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:25.18 aq:24.03 tex:8362 mv:2307 misc:475 imb:8 pmb:198 smb:199 d:t ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:25.19 aq:24.22 tex:2564 mv:1114 misc:338 imb:4 pmb:90 smb:311 d:s ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:25.16 aq:24.80 tex:2477 mv:1122 misc:393 imb:3 pmb:95 smb:307 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:23.72 aq:19.10 tex:37405 mv:2786 misc:217 imb:97 pmb:265 smb:43 d:s ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:24.20 aq:23.23 tex:9978 mv:2626 misc:452 imb:18 pmb:209 smb:178 d:s ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:24.21 aq:23.24 tex:4080 mv:1205 misc:379 imb:4 pmb:96 smb:305 d:s ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:24.19 aq:24.87 tex:3680 mv:1093 misc:347 imb:6 pmb:87 smb:312 d:- ref:0 ;
in:28 out:25 type:P dur:2 cpbdur:2 q:23.42 aq:18.48 tex:39888 mv:2719 misc:281 imb:76 pmb:273 smb:56 d:s ref:0 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:23.71 aq:22.83 tex:10299 mv:2319 misc:422 imb:14 pmb:184 smb:207 d:s ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:23.72 aq:24.99 tex:4337 mv:1279 misc:336 imb:3 pmb:94 smb:308 d:s ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:23.71 aq:22.94 tex:3891 mv:899 misc:314 imb:3 pmb:77 smb:325 d:- ref:0 ;
in:32 out:29 type:P dur:2 cpbdur:2 q:23.32 aq:18.39 tex:39548 mv:2477 misc:287 imb:79 pmb:261 smb:65 d:s ref:0 ;
in:30 out:30 type:B dur:2 cpbdur:2 q:23.42 aq:22.60 tex:11645 mv:2602 misc:449 imb:28 pmb:216 smb:161 d:s ref:0 ;
in:29 out:31 type:b dur:2 cpbdur:2 q:23.42 aq:23.91 tex:4832 mv:1451 misc:413 imb:9 pmb:140 smb:256 d:s ref:0 ;
in:31 out:32 type:b dur:2 cpbdur:2 q:23.42 aq:23.61 tex:7292 mv:2043 misc:441 imb:9 pmb:197 smb:199 d:- ref:0 ;
in:36 out:33 type:P dur:2 cpbdur:2 q:23.34 aq:18.40 tex:48324 mv:2956 misc:240 imb:79 pmb:278 smb:48 d:s ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:23.34 aq:21.29 tex:13677 mv:2798 misc:445 imb:21 pmb:218 smb:166 d:s ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:23.34 aq:23.07 tex:6389 mv:1476 misc:343 imb:8 pmb:131 smb:266 d:s ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:23.34 aq:22.88 tex:7622 mv:1896 misc:378 imb:10 pmb:157 smb:238 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:23.73 aq:18.80 tex:46740 mv:2913 misc:291 imb:76 pmb:264 smb:65 d:s ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:23.72 aq:22.39 tex:13175 mv:2385 misc:456 imb:11 pmb:206 smb:188 d:s ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:23.71 aq:23.75 tex:6620 mv:1547 misc:369 imb:6 pmb:124 smb:275 d:s ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:23.73 aq:23.20 tex:4444 mv:1109 misc:311 imb:2 pmb:87 smb:316 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:24.03 aq:18.47 tex:46340 mv:3003 misc:209 imb:71 pmb:292 smb:42 d:s ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:24.02 aq:23.48 tex:13482 mv:2555 misc:451 imb:11 pmb:239 smb:155 d:t ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:24.02 aq:24.38 tex:5103 mv:1182 misc:395 imb:4 pmb:118 smb:283 d:s ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:24.03 aq:24.55 tex:3767 mv:1159 misc:434 imb:2 pmb:149 smb:254 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:24.25 aq:19.29 tex:34865 mv:2449 misc:262 imb:45 pmb:305 smb:55 d:s ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:24.24 aq:23.23 tex:7375 mv:1662 misc:491 imb:7 pmb:211 smb:187 d:t ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:24.24 aq:23.97 tex:2269 mv:670 misc:413 imb:0 pmb:95 smb:310 d:s ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:24.25 aq:24.69 tex:2772 mv:819 misc:409 imb:2 pmb:109 smb:294 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:24.02 aq:18.64 tex:48496 mv:2685 misc:307 imb:84 pmb:255 smb:66 d:s ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:24.24 aq:23.74 tex:13982 mv:2584 misc:458 imb:16 pmb:222 smb:167 d:s ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:24.25 aq:24.84 tex:5211 mv:1105 misc:372 imb:4 pmb:100 smb:301 d:s ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:24.24 aq:24.13 tex:6661 mv:1702 misc:397 imb:7 pmb:159 smb:239 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:24.22 aq:18.41 tex:37544 mv:2357 misc:371 imb:58 pmb:259 smb:88 d:s ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:24.21 aq:23.65 tex:10088 mv:2568 misc:432 imb:15 pmb:225 smb:165 d:s ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:24.21 aq:24.84 tex:3637 mv:1437 misc:342 imb:7 pmb:118 smb:280 d:s ref:0 ;
